,locations,text
297,"San Jose, CA","There is a reported #tsunami (AK/BC/US West Coast) - 40 miles SW of #Barter I., #Alaska Magnitude of 4.0.… https://t.co/G3QcpuWeyr"
298,NOWHERE,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
299,"Dallas, TX","RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
300,If you were authorized to know then you would.,Atlantis in Mauritania was obviously destroyed by the mega tsunami that pushed all of the sand into the Sahara desert.
301,Thiruvallur,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
302,"New Delhi, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
303,हिन्दुस्तान ,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
304,"Arkansas, USA",RT @SerendipityDizl: The best way to combat the flood of misinformation is with a tsunami of facts.  People who continue to ignore or disbe…
305,"Surat, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
306,"Surat, Gujarat","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
307,"Hell, Michigan",RT @LiveEdges: The latest LIVEEDGES TSUNAMI EMERGENCY  Daily! https://t.co/H5UQcNQcun Thanks to @dariussnieckus #japan #10yearchallenge
308,"पूर्णिया, बिहार ","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
309,"Ottawa, Ontario",I see. One person was spared this event so it could be written down and published thousands of years later as the W… https://t.co/qpiaAhExQ8
310,Endou's pants,T-tsunami-san what are you doing??;;
311,"Peshawar, Pakistan","RT @vellamasroof: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Neya pakistan: neya is sil…"
312,"Salt Lake City, UT",HOLY. SHIT.
313,"Rajasthan, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
314,Newport,"RT @CMO_com: “Personalisation is not a trend. It is a marketing tsunami!""

See how richer customer experiences are transforming the retail…"
315,"Hyderabad - TS, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
316,"Bergen, Norway","RT @TSA_Projects: Mobile medical services are still provided to communities affected by the recent earthquake, tsunami, liquefaction and di…"
317,"Hell, Michigan","RT @disasteraware: There is a reported #tsunami (AK/BC/US West Coast) - 40 miles SW of #Barter I., #Alaska Magnitude of 4.0. @disasteraware…"
318,UK//19,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
319,धरतीं धोरा री,"RT @MumbaiPolice: Tsunami - T is silent 
Honest - H is silent 
Island- S is silent 
Queue - Ueue is silent 
Being blackmailed - You are sil…"
320,"Bengaluru, India",There was Tsunami at @BigBazaar today! The @tide had reached up to 12 feet high! #truestory https://t.co/2z0wKWE2Hy
321,Dubai - Abu Dhabi,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
322,OBODOUKWU,"Hope this recent twitter tsunami swept all those Emeka, Ifeanyi, Ojukwu, Linda, and other bots raised by APC to mak… https://t.co/XDZ7bAWi4U"
323,"Mesa, AZ","RT @NeuroGinja: It's such a tremendous joy to appreciate someone's music for years, then meet them and realize that they are a kind, big-he…"
324,"Seattle, WA",Is it possible to resurrect civility amid a tsunami of toxicity? This group is trying. https://t.co/R7JJoim87x
325,michigan usa,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
326,North America,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
327,India,"RT @MumbaiPolice: Tsunami - T is silent 
Honest - H is silent 
Island- S is silent 
Queue - Ueue is silent 
Being blackmailed - You are sil…"
328,Blockchain,"RT @fararizky15: Finally we are launching Indonesia Center's campaign for Tsunami Victims in #banten and #lampung using @funditionio
Platfo…"
329,"New Delhi, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
330,Vasudhev Kutumbkam,"RT @MumbaiPolice: Tsunami - T is silent 
Honest - H is silent 
Island- S is silent 
Queue - Ueue is silent 
Being blackmailed - You are sil…"
331,"Bangalore,Bharat","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
332,"Denver, CO",RT @NJD61300996: I awoke this morning with optimism and hope that the groundswell of support for Bernie Sanders will continue to grow into…
333,"Uttar Pradesh, India","RT @MumbaiPolice: Tsunami - T is silent 
Honest - H is silent 
Island- S is silent 
Queue - Ueue is silent 
Being blackmailed - You are sil…"
334,Somewhere between dreams,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
335,Singapore,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
336,NC,RT @SerendipityDizl: The best way to combat the flood of misinformation is with a tsunami of facts.  People who continue to ignore or disbe…
337,"New Delhi, Box Hill, Melbourne","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
338,"Bangalore, India","It would have been apt if the point was named ""India Point""!! Just a thought.
https://t.co/rpfM2gGInC"
339,"England, United Kingdom","""It was great working with the Tsunami team to launch our new office design at The Mailbox in Birmingham. Tsunami p… https://t.co/JmZEt3zUR4"
340,Munger,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
341,"Gurgaon, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
342,India,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
343,United States,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
344,"El Paso, Texas, USA","Blood Moon Jan. 20-21, 2019. 3 SuperMoons in 3 Months. A Dark Day Prophecy &amp; A Tsunami Warning to FL https://t.co/BWP1AkBq06"
345,United States,RT @SerendipityDizl: The best way to combat the flood of misinformation is with a tsunami of facts.  People who continue to ignore or disbe…
346,Apke samne waali khidki mein,Areeb : humor is silent
347,Hinganghat,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
348,"Auckland, New Zealand","For kids, our parents’ divorce doesn’t just hurt when it happens. It’s a pain that comes in waves throughout our li… https://t.co/OxfGWnh52b"
349,"Ibadan, Nigeria","RT @ReAl_Malick: 🏄‍♂️Dear Friends

🕺Let's enjoy this Tsunami
🎼Gain f0ll0wers🏃‍♂️

🏂Retweet &amp; like
🍎Follow Me🍏
🙋‍♂️MY follow back💯

❤️Commen…"
350,"Bijapur, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
351,CA//DEN,@CaecusC Will you start one for me for a Tsunami pod?
352,no where....,"RT @MumbaiPolice: Tsunami - T is silent 
Honest - H is silent 
Island- S is silent 
Queue - Ueue is silent 
Being blackmailed - You are sil…"
353,"Indiana, USA","RT @frankjsullivan: @fenrir_71 @kimmyifuplease They SAW, they choose to defy the WILL of the People. Blue tsunami coming in 2020 as well. E…"
354,United States,@realDonaldTrump You been infiltrated by a RUSSIAN agent . Must be removed quickly. Tsunami warning
355,Under Acres of Mojave Skies,RT @SerendipityDizl: The best way to combat the flood of misinformation is with a tsunami of facts.  People who continue to ignore or disbe…
356,Ghar Pe Hu bc,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
357,India,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
358,Nigeria,"Tsunami in Gombe. Everybody want  to get to the  #NextLevel. What is happening in the atiku camp, it is not looking good"
359,Jaipur,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
360,"Oxnard, CA",RT @21ufopilots: @realDonaldTrump You been infiltrated by a RUSSIAN agent . Must be removed quickly. Tsunami warning
361,Kenya,"RT @Schuldensuehner: Markets face a tsunami of US debt: US bond issuance rising from $1trn in 2017 to $1.5trn in 2018, $2trn in 2019, and $…"
362,United States,RT @21ufopilots: @realDonaldTrump You been infiltrated by a RUSSIAN agent . Must be removed quickly. Tsunami warning
363,"Maharashtra, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
364,"Goa, India , lucerne ","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
365,Ghar Pe Hu bc,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
366,India,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
367,Bharat,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
368,"Shimla Urban, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
369,India,"Nirmala Sitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a cons… https://t.co/IEgn3FLtbv"
370,India,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
371,India,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
372,•multifandom•,"English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Q… https://t.co/hOAU6C7Nab"
373,"Hawaii, USA","RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
374,NAMKANDA,"RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
375,Akron Ohio,Is it possible to resurrect civility amid a tsunami of toxicity? This group is trying. https://t.co/Xfk6nnaei8 The… https://t.co/0QYBF92Xeh
376,NAMKANDA,Underrated
377,"Waukesha, WI",RT @aigkenham: So evolutionary scientists are happy to propose a global catastrophe on earth--as long as it's not one that's recorded in th…
378,Jodhpur Rajasthan,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
379,Namkanda,"RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
380,OT7 Stan,Take notes
381,arg,"RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
382,Bengaluru Bharathavarsha,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
383,"Washington, USA","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
384,Bulgaria,"RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
385,•multifandom•,RT @outro_kimchi: Underrated https://t.co/fBDQj7oCqd
386,☺,"RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
387,The World Wide Web,RT @executionunit: Three beautiful people call Smith and Winston ugly and talk about Linux support in general ;) https://t.co/EMZVOmTXxq
388,India,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
389,इंद्रप्रस्थ भारत,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
390,West London ,"RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
391,Washington D.C.,"“It’s not the difference of opinion on policy that makes us bitter,” Allred said. “But thinking they’re a bad perso… https://t.co/RrysXfaLKh"
392,"अयोध्या, भारत","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
393,Arizona,"A profile of the @NICDInstitute by @katiezez:

""The institute sponsored workshops on how to run a positive politica… https://t.co/T62vsNF3VU"
394,"राजस्थान, भारत","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
395,•multifandom•,RT @JinsusTheLord: Take notes https://t.co/TFb6yno7ek
396,Hyderabad ,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
397,🐦🐰 ,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
398,"Maryland, USA",RT @SerendipityDizl: The best way to combat the flood of misinformation is with a tsunami of facts.  People who continue to ignore or disbe…
399,"Gurgaon, Haryana","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
400,"Mohali, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
401,Down by the ship breaking yard,"RT @APEastRegion: Boston is marking the 100th anniversary of its most peculiar disaster, the Great Molasses Flood. The sticky, deadly tsuna…"
402,"MMR, India. ","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
403,"Mumbai,India",RT @ggiittiikkaa: Vivek Oberoi has donated flats to 25 CRPF martyrs; rehabilitated 3000 tsunami-hit families; gifted apartments to acid att…
404,bangtwice ♡,"RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
405,जननीजन्मभूमिःस्वर्गादपि गरीयसी,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
406,"Purulion, JNU 'ite nw B,lorean","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
407,India,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
408,बेंगलुरु-कर्नाटक-भारतवर्ष ,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
409,Norway,"RT @mishtal: London 2018. I watch the whole argument. Jews were blamed for all the wars of the Middle East, including the Sunni/Shi'ite vio…"
410,"Boston, MA","RT @APEastRegion: Boston is marking the 100th anniversary of its most peculiar disaster, the Great Molasses Flood. The sticky, deadly tsuna…"
411,evhasm ♡ they/them Ⓥ,"RT @got_monberry: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue:…"
412,United States,RT @21ufopilots: @realDonaldTrump You been infiltrated by a RUSSIAN agent . Must be removed quickly. Tsunami warning
413,"Kind to Kind, Kind to Unkind! ","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
414,"Sacramento, CA","The idea of not being able to outrun molasses doesn't sound right, but apparently it's possible.  https://t.co/vewRxAxYJn"
415,"Zurich, Switzerland",New paper about 'Impulse Wave Runup on Steep to Vertical Slopes' 🌊⛰️@JMSE_MDPI Special Issue 'Tsunami Science and E… https://t.co/w4L51vPt1s
416,"London, England",Time to change the name of this point @nsitharaman ji
417,"Tamil Nadu, India","RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
418,Don't know,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
419,"Atlanta, Georgia, USA","RT @got_monberry: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue:…"
420,Vadodara,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
421,"Lucknow, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
422,Delhi,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
423,"Mumbai, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
424,"British Columbia, Canada","RT @mishtal: London 2018. I watch the whole argument. Jews were blamed for all the wars of the Middle East, including the Sunni/Shi'ite vio…"
425,"Florida, USA",RT @Aryn_Mosley: Living in Alabama as a strong Veteran that is an outspoken liberal is for sure the best way to resist!! We need a blue tsu…
426,India,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
427,India,"@crazychic450 Haan!!!! 

 so ppl don't worry about anything... Let's face this tsunami and clear the gutted area!… https://t.co/1wZHgSFNNw"
428,Bharat-Bihar-Jharkhand & W.B ,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
429,Shivamogga karnataka,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
430,Jammu,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
431,"Providence, RI",All the weird news. Always Boston making #molasses.
432,USA,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
433,tweetsnow.com/politics,"Nirmala Sitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a cons… https://t.co/eNgeuSECOB"
434,RKive,"RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
435,"Capital, British Columbia",RT @SerendipityDizl: The best way to combat the flood of misinformation is with a tsunami of facts.  People who continue to ignore or disbe…
436,"Broomfield, Colorado","Is it possible to resurrect civility amid a tsunami of toxicity? This group is trying.
https://t.co/6RWBm12C1i"
437,Twin Cities of Pakistan,"RT @vellamasroof: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Neya pakistan: neya is sil…"
438,"Maryport, England","RT @TSA_Projects: Mobile medical services are still provided to communities affected by the recent earthquake, tsunami, liquefaction and di…"
439,"Pune,India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
440,USA,RT @SerendipityDizl: The best way to combat the flood of misinformation is with a tsunami of facts.  People who continue to ignore or disbe…
441,insta: moodybub,"RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
442,imphal,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
443,"Little Rock, AR",RT @washingtonpost: Is it possible to resurrect civility amid a tsunami of toxicity? This group is trying. https://t.co/yQylWgU5qQ
444,Twice + PLT+ Ateez+ btshinee,"RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
445,"Bengaluru, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
446,"Tamil Nadu, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
447,"Bihar, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
448,"Nagpur, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
449,"India, Jodhpur ( Rajasthan )","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
450,India,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
451,Rajiv chowk metro staion,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
452,Society of Technowizards,"RT @APEastRegion: Boston is marking the 100th anniversary of its most peculiar disaster, the Great Molasses Flood. The sticky, deadly tsuna…"
453,google maps,"RT @vellamasroof: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Neya pakistan: neya is sil…"
454,Tuticorin,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
455,"New Delhi, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
456,san jose CA,indeed its very marshy now post modi tsunami😊😊😊😊
457,"Doha, Qatar","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
458,"Tabuleiro do Martins, Maceió",Gostei de um vídeo @YouTube https://t.co/EBe7ZwJQS4 put spongebob music over the end of the world (tsunami)
459,Los Angeles,"RT @JoeMulder: You could be in the middle of being swept down Olympic Blvd by a rainwater tsunami &amp; the asshole next to you would be like ""…"
460,"Vaishali, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
461,"Walvis Bay, Namibia","RT @disasteraware: There is a reported #tsunami (AK/BC/US West Coast) - 40 miles SW of #Barter I., #Alaska Magnitude of 4.0. @disasteraware…"
462,"Washington DC/Tucson, AZ ","RT @AzCCL: A profile of the @NICDInstitute by @katiezez:

""The institute sponsored workshops on how to run a positive political campaign ov…"
463,"Burbank, CA",My Pelvic #Ultrasound and How I Averted a Tsunami-Like Flood #midlife @babyboomers https://t.co/ZBRJF1iWiE
464,"Bihar, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
465,United States,This me pretending to be surprised
466,South Wales,"RT @BB_Writes: :
How many unspoken words
have you stashed
inside your ribcage?
Each subject, a matchstick
Each verb, a wave...

Can you ima…"
467,one direction’s backbone,"English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Q… https://t.co/hiAOke3JXG"
468,"New Delhi, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
469,Nutshell,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
470,Africa-India,"Gandhi family did a great favour to Bharat by not naming it 'Rahulistan'

Or may be they will do that in future."
471,Wish To Live In virtual World,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
472,KhuzdarBalochistan Pakistan,"@SdqJaan So sad, it will further promote the tsunami of looting and plundering??"
473,Btsworld,"RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
474,"Rawalpindi, Pakistan","RT @vellamasroof: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Neya pakistan: neya is sil…"
475,"Boxborough, MA",Is it possible to resurrect civility amid a tsunami of toxicity? This group is trying. https://t.co/Wo1zXCwWlm
476,"Uttar Pradesh, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
477,India,"RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
478,mumbai,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
479,somnambulance,"RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
480,"Ludhiana, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
481,Nutshell,"English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Q… https://t.co/CqRciPy33C"
482,"ÜT: 19.174121,72.834739","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
483,I Hella 💖 Oakland,"Note how all the examples of incivility come from one side, but both sides are being told to be civil. What this am… https://t.co/4DK5LlftJf"
484,Mumbai and UP,"RT @navfrn: Gandhi family did a great favour to Bharat by not naming it 'Rahulistan'

Or may be they will do that in future. https://t.co/X…"
485,"Bournemouth, England",RT @lunaperla: @Bournemouth4EU @StandUp2Brexit I am in despair because there is literally a tsunami of #FakeNews coming out of N°10. I can…
486,"Lucknow, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
487,"Bengaluru, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
488,"Udupi, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
489,Delhi/Patna/Gwalior/Bhopal,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
490,+628,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
491,gurgaon,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
492,"Guwahati,india","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
493,"New York, USA",Are you attending #Cybertech in Tel Aviv this month? So are we! Learn how BigID can help you and your org prepare f… https://t.co/EH5l2HEYLj
494,"California, USA",Too bad Trump doesn’t believe in climate change. Protecting the US with a WALL from a tsunami originating from the… https://t.co/U49S4lWRmJ
495,Boston,"RT @APEastRegion: Boston is marking the 100th anniversary of its most peculiar disaster, the Great Molasses Flood. The sticky, deadly tsuna…"
496,Nutshell,"It need to be said
https://t.co/n7wawH4uGz"
497,"Florida, USA",RT @SerendipityDizl: The best way to combat the flood of misinformation is with a tsunami of facts.  People who continue to ignore or disbe…
498,"Los Angeles, CA",My Pelvic Ultrasound and How I Averted a Tsunami-Like Flood #midlife #babyboomer #womenshealth https://t.co/YNcLyE1Agg
499,india,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
500,||-//,"RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
